"20191014_Toxoplasma_TMT_FullExperiment, 126C:126C.127C.127N, ctrl.turbo.rah.nobiotin:control.mean"	"20191014_Toxoplasma_TMT_FullExperiment, 127N:126C.127C.127N, ctrl.turbo.cyto.nobiotin:control.mean"	"20191014_Toxoplasma_TMT_FullExperiment, 127C:126C.127C.127N, ctrl.noturbo.nobiotin:control.mean"	"20191014_Toxoplasma_TMT_FullExperiment, 128N:126C.127C.127N, turborah.toxo.r1:control.mean"	"20191014_Toxoplasma_TMT_FullExperiment, 128C:126C.127C.127N, turborah.mock.r1:control.mean"	"20191014_Toxoplasma_TMT_FullExperiment, 129N:126C.127C.127N, turborah.toxo.r2:control.mean"	"20191014_Toxoplasma_TMT_FullExperiment, 129C:126C.127C.127N, turborah.mock.r2:control.mean"	"20191014_Toxoplasma_TMT_FullExperiment, 130N:126C.127C.127N, turborah.toxo.r3:control.mean"	"20191014_Toxoplasma_TMT_FullExperiment, 130C:126C.127C.127N, turbocyto.toxo.r1:control.mean"	"20191014_Toxoplasma_TMT_FullExperiment, 131N:126C.127C.127N, turborah.toxo.r4:control.mean"	"20191014_Toxoplasma_TMT_FullExperiment, 131C:126C.127C.127N, turbocyto.toxo.r2:control.mean"	id	accession_number	numColumnsProteinObserved	numSpectraProteinObserved	numPepsUnique	numPepsUniqueSubgroupSpecificCI	accession_numbers	species	protein_mw	percentCoverage	groupNum	subgroupNum	scoreUnique	scoreUniqueSubgroupSpecificCI	entry_name	20191014_Toxoplasma_TMT_FullExperiment unique_peptides	20191014_Toxoplasma_TMT_FullExperiment numSpectra	20191014_Toxoplasma_TMT_FullExperiment totalIntensity	20191014_Toxoplasma_TMT_FullExperiment pct_cov
0	0.893	-1.084	3.016	3.241	3.101	3.343	3.142	4.707	3.134	4.808	P46939-2	P46939-2	1	138	90	90	P46939-2|P46939|P46939-4|Q5T097|P46939-3|A0A087WTU7|A0A075B6G3|P11532|A0A087WV90|E9PDN5|P11532-4|P11532-2|P11532-3|E7ESB2|F8VX32|E7EQS5|F5GZY3|E7EQR9|P11532-6|P11532-5|P11532-7|P11532-8|P11532-9|P11532-10|Q13474|Q13474-2	HUMAN	397301.3	31.4	45	45.1	1332.35	1332.35	Isoform 2 of Utrophin	91	138	1.13E+10	31.40%
0	0.927	-0.734	3.355	3.325	3.433	3.542	3.535	5.744	3.484	5.765	Q96N67	Q96N67	1	176	75	70	Q96N67|Q96N67-5|Q96N67-6|Q96N67-2|Q96N67-3|Q96N67-4|Q96N67-7|A0A1B0GUE9|Q8NF50|Q8NF50-2|Q8NF50-3|Q8NF50-4|A2A369	HUMAN	244439.1	42.1	46	46.1	1314.18	1231.75	Dedicator of cytokinesis protein 7	75	176	2.56E+10	42.10%
0	0.918	-0.521	3.241	3.122	3.274	3.234	3.212	4.612	3.208	4.488	Q96HP0	Q96HP0	1	8	12	7	Q96HP0	HUMAN	231436.7	6.6	46	46.2	188.03	105.6	Dedicator of cytokinesis protein 6	7	8	1.29E+08	4.60%
0	1.125	-0.938	2.564	2.7	2.697	2.787	2.741	5.463	2.72	5.564	Q15746	Q15746	1	159	74	4	Q15746|Q15746-6|Q15746-3|Q15746-5|Q15746-7|Q15746-11|Q15746-9|Q15746-8|Q15746-10|F8WBL7|TGGT1_240390-t26_1-p1	HUMAN	213449.8	46.1	47	47.1	1312.06	80.94	Myosin light chain kinase smooth muscle	75	159	2.79E+10	46.10%
	0.454		2.064	2.554	2.441	2.07	2.007	4.526	2.138	4.52	Q15746-2	Q15746-2	1	2	73	2	Q15746-2|Q15746-4	HUMAN	205619.2	46.9	47	47.2	1278.52	36.64	Isoform 2 of Myosin light chain kinase smooth muscle	2	2	77600000	1.00%
0	1.075	-0.621	3.384	3.147	3.408	3.393	3.613	5.058	3.443	5.165	P07814	P07814	1	183	76	76	P07814|V9GZ76	HUMAN	172185.3	58.1	48	48.1	1305.15	1305.15	Bifunctional glutamate/proline--tRNA ligase	76	183	2.44E+10	58.10%
0	0.628	-0.61	3.08	2.756	3.163	2.907	3.186	5.478	3.092	5.461	P49327	P49327	1	183	76	76	P49327|A0A0U1RQF0	HUMAN	276046.1	40.5	49	49.1	1297.59	1297.59	Fatty acid synthase	76	183	1.66E+10	40.50%
0	0.367	-1.202	4.113	4.117	4.212	4.279	4.263	4.412	4.191	4.634	Q86UP2	Q86UP2	1	175	82	82	Q86UP2|Q86UP2-4|Q86UP2-2|Q86UP2-3|G3V4Y7|B7Z6P3	HUMAN	156557.7	58.8	50	50.1	1260.3	1260.3	Kinectin	82	175	2.56E+10	58.80%
0	0.541	-0.837	2.959	2.839	3.072	3.012	3.077	4.109	2.984	4.109	O00159	O00159	1	222	70	69	O00159|O00159-3|F5H6E2|O00159-2	HUMAN	122535.2	63.8	51	51.1	1248.71	1232.1	Unconventional myosin-Ic	70	222	6.22E+10	63.80%
0	0.818	-0.903	3.176	3.103	3.326	3.268	3.37	4.845	3.299	4.878	O43795	O43795	1	111	43	42	O43795|E9PDF6|O43795-2|Q9UBC5|G3V342	HUMAN	133009.6	46.6	51	51.2	741.2	724.59	Unconventional myosin-Ib	42	111	2.19E+10	45.60%
0	0.457	-0.72	2.905	2.83	3.079	2.925	3.079	4.888	2.936	4.881	Q12965	Q12965	1	32	25	24	Q12965|O00160|H0YN00	HUMAN	127630.1	25	51	51.3	343.16	326.55	Unconventional myosin-Ie	24	32	2.14E+09	24.00%
0	0.368	-0.569	4.021	4.053	4.202	4.416	4.219	4.673	4.2	4.797	J3KNL6	J3KNL6	1	243	73	3	J3KNL6|O15027|O15027-4|O15027-3|O15027-2	HUMAN	253486.5	41.2	52	52.1	1247.07	60.3	Protein transport protein sec16	73	243	5.02E+10	41.20%
											F1T0I1	F1T0I1	1	3	71	1	F1T0I1	HUMAN	251018	39.9	52	52.2	1212.89	26.12	Protein transport protein sec16	1	3	2.78E+08	1.50%
0	0.226	-0.744	4.72	4.729	4.753	5.026	4.952	5.09	4.842	5.282	Q7Z3T8	Q7Z3T8	1	265	70	70	Q7Z3T8|Q7Z3T8-3	HUMAN	171296.7	51.4	53	53.1	1231.68	1231.68	Zinc finger FYVE domain-containing protein 16	70	265	7.61E+10	51.40%
0	1.452	-1.485	3.072	3.059	3.14	3.251	3.175	5.385	3.197	5.482	Q9P0K7-4	Q9P0K7-4	1	210	70	70	Q9P0K7-4|Q9P0K7|Q9P0K7-2|Q9P0K7-3|D6REL2|D6RBW6|D6RB25	HUMAN	107530.4	69.8	54	54.1	1199.3	1199.3	Isoform 4 of Ankycorbin	70	210	4.41E+10	69.80%
0	0.953	-0.826	3.288	3.478	3.354	3.597	3.427	5.723	3.352	5.778	Q01082	Q01082	1	147	76	76	Q01082|A0A087WUZ3|Q01082-2|Q01082-3|O15020|O15020-2|A4QPE4|P11277-2|P11277|P11277-3|C9JY79|Q9H254|Q9H254-4|M0QZQ3|Q9H254-2	HUMAN	275403.1	37.5	55	55.1	1197.62	1197.62	Spectrin beta chain non-erythrocytic 1	78	147	1.17E+10	37.50%
0.494	0	-0.88	4.438	4.613	4.458	4.774	4.62	3.586	4.657	3.785	Q6ZMZ3	Q6ZMZ3	1	243	72	1	Q6ZMZ3|G3V533|Q6ZMZ3-3	HUMAN	112842.1	67.7	56	56.1	1187.47	22.99	Nesprin-3	72	243	8.05E+10	67.70%
											Q6ZMZ3-2	Q6ZMZ3-2	1	1	72	1	Q6ZMZ3-2	HUMAN	112302.4	67.8	56	56.2	1184.52	20.04	Isoform 2 of Nesprin-3	1	1	53200000	1.60%
0	1.249	-0.597	3.748	4.035	3.809	4.067	3.787	5.28	3.903	5.271	Q99996	Q99996	1	128	89	89	Q99996|A0A0A0MRF6|Q99996-2|Q99996-5|Q99996-6|Q99996-3|A0A0A0MRE9|Q99996-4|A0A087WX84|Q6PJH3	HUMAN	455998.5	25.8	57	57.1	1177.17	1177.17	A-kinase anchor protein 9	89	128	9.76E+09	25.80%
0	0.886	-0.776	3.591	3.601	3.672	3.728	3.743	5.92	3.721	6.045	O15056	O15056	1	209	66	66	O15056|O15056-2|A0A1W2PR85|O15056-3|E7ER60	HUMAN	166676	49.6	58	58.1	1171.82	1171.82	Synaptojanin-2	66	209	5.61E+10	49.60%
1.431	0	-0.458	0.871	1.452	1.499	2.116	0.594	1.191	0.708	1.447	P35555	P35555	1	186	71	65	P35555|F6U495|Q75N90	HUMAN	332886.1	29.7	59	59.1	1167.11	1076.12	Fibrillin-1	71	186	3.14E+10	29.70%
1.381	0	-0.156	1.054	1.566	1.528	2.125	0.996	1.504	0.966	1.62	P35556	P35556	1	60	36	31	P35556|A0A087WYV8|D6RJI3|P35556-2|E9PHW4|D6REJ2	HUMAN	335480.6	15	59	59.2	553.42	473.77	Fibrillin-2	31	60	4.32E+09	13.10%
0.189	-0.78	0	0.394	1.001	0.53	0.688	0.622	0.775	0.504	0.912	P24821	P24821	1	187	71	12	P24821|P24821-4|J3QSU6|E9PC84|P24821-3|F5H7V9|P24821-2|P24821-5	HUMAN	246497.5	36.9	60	60.1	1160.4	186.65	Tenascin	71	187	5.95E+10	36.90%
0.579	0	-0.405	1.065	1.548	1.11	1.523	1.249	-0.113	0.974	0.604	P24821-6	P24821-6	1	6	60	2	P24821-6	HUMAN	177005	43.4	60	60.2	990.39	32.03	Isoform 6 of Tenascin	2	6	3.62E+09	1.30%
0	1.122	-0.622	3.331	3.456	3.345	3.619	3.443	5.786	3.457	5.88	Q5VT06	Q5VT06	1	142	80	80	Q5VT06	HUMAN	352521.4	29.1	61	61.1	1142.55	1142.55	Centrosome-associated protein 350	80	142	1.55E+10	29.10%
1.164	0	-0.535	4.389	4.514	4.486	4.517	4.644	3.088	4.508	3.347	Q9Y2U8	Q9Y2U8	1	284	63	63	Q9Y2U8	HUMAN	100851.5	75.8	62	62.1	1133.34	1133.34	Inner nuclear membrane protein Man1	63	284	1.83E+11	75.80%
0	0.004	-0.268	0.571	0.755	0.688	0.841	0.757	1.115	0.678	1.127	P05165	P05165	1	444	65	65	P05165|P05165-2|P05165-3	HUMAN	80685.1	76.5	63	63.1	1129.97	1129.97	Propionyl-CoA carboxylase alpha chain mitochondrial	65	444	5.94E+11	76.50%
0	0.903	-0.765	3.141	3.173	3.274	3.193	3.351	6.031	3.306	6.062	A5YKK6	A5YKK6	1	148	74	74	A5YKK6|A5YKK6-2|A5YKK6-3|A5YKK6-4|H3BU44	HUMAN	269273.3	35.1	64	64.1	1128.5	1128.5	CCR4-NOT transcription complex subunit 1	74	148	1.70E+10	35.10%
0.212	0	-0.889	4.301	4.251	4.28	4.475	4.426	4.164	4.423	4.314	P52948	P52948	1	182	66	66	P52948|P52948-5|P52948-2|P52948-6|P52948-3|P52948-4	HUMAN	198716.8	39	65	65.1	1114.96	1114.96	Nuclear pore complex protein Nup98-Nup96	66	182	4.18E+10	39.00%
0.058	0	-0.33	4.994	5.002	4.968	5.194	5.071	4.862	4.939	4.972	Q9NRZ9-2	Q9NRZ9-2	1	203	66	66	Q9NRZ9-2|Q9NRZ9|A0A0B4J1V9|Q9NRZ9-3|Q9NRZ9-5|F6XU50|Q9NRZ9-6|Q9NRZ9-4|A0A087WSW7|Q9NRZ9-7|Q9NRZ9-8|Q9NW36|Q9NRZ9-9|Q76H82	HUMAN	96233.2	68.3	66	66.1	1107.77	1107.77	Isoform 2 of Lymphoid-specific helicase	66	203	7.73E+10	68.30%
0	0.292	-0.746	3.319	2.993	3.374	3.224	3.466	4.01	3.313	4.096	P53621	P53621	1	196	65	65	P53621|P53621-2	HUMAN	139883.7	57.3	67	67.1	1099.29	1099.29	Coatomer subunit alpha	65	196	3.95E+10	57.30%
0	1.002	-0.957	3.956	3.975	4.03	4.176	3.989	5.572	3.881	5.665	Q02952	Q02952	1	123	59	59	Q02952|Q02952-2|Q02952-3	HUMAN	192048.9	43.7	68	68.1	1092.95	1092.95	A-kinase anchor protein 12	59	123	2.16E+10	43.70%
0	1.296	-0.884	4.154	4.549	4.261	4.665	4.146	4.213	4.349	4.199	Q9BV73	Q9BV73	1	128	74	74	Q9BV73|Q9BV73-2|E9PHT2|A6PVI9	HUMAN	282045.1	32.8	69	69.1	1084.83	1084.83	Centrosome-associated protein CEP250	74	128	9.99E+09	32.80%
0	0.448	-0.83	3.098	3.001	3.041	3.162	3.112	3.775	3.072	3.824	A0A087WVQ6	A0A087WVQ6	1	134	61	46	A0A087WVQ6|Q00610|Q00610-2|J3KS13|J3QL20	HUMAN	193823.3	44.6	70	70.1	1070.66	819.93	Clathrin heavy chain	61	134	1.78E+10	44.60%
0.061		-0.575	3.55	3.469	3.544	3.636	3.639	2.815	3.471	2.771	P53675	P53675	1	1	16	1	P53675|P53675-2|A0A087WX41	HUMAN	189137.5	8.5	70	70.2	256.38	5.65	Clathrin heavy chain 2	1	1	21600000	0.70%
0	0.438	-0.631	5.044	4.721	4.959	5.036	5.152	4.987	4.984	5.178	P82094	P82094	1	171	63	63	P82094|P82094-2|F8WF45	HUMAN	123353	59.3	71	71.1	1050.22	1050.22	TATA element modulatory factor	63	171	6.95E+10	59.30%
0	0.525	-1.166	3.669	3.512	3.783	3.698	3.879	4.781	3.86	4.888	P11142	P11142	1	347	58	39	P11142|E9PKE3|E9PNE6|P11142-2|A8K7Q2	HUMAN	71125	74.6	72	72.1	1041.73	725.67	Heat shock cognate 71 kDa protein	58	347	3.04E+11	74.60%
0	0.621	-1.068	3.729	3.769	3.748	3.991	3.977	5.322	3.894	5.41	P11021	P11021	1	263	53	49	P11021	HUMAN	72445.7	69.5	72	72.2	934.19	874.7	78 kDa glucose-regulated protein	49	263	1.80E+11	67.20%
0	1.023	-0.882	3.267	1.442	3.366	1.645	3.407	5.433	3.386	5.403	TGGT1_273760-t26_1-p1	TGGT1_273760	1	127	45	36	TGGT1_273760-t26_1-p1	Toxoplasma_gondii_GT1	72748	61.1	72	72.3	785.79	626.94	TGGT1_273760	36	127	2.70E+10	50.50%
0	0.364	-1.008	3.583	3.45	3.596	3.679	3.664	4.692	3.642	4.781	A0A0G2JIW1	A0A0G2JIW1	1	129	38	31	A0A0G2JIW1|P0DMV8|P0DMV8-2|V9GZ37|P48741	HUMAN	70393.3	67.2	72	72.4	669.48	568.59	Heat shock 70 kDa protein 1B	31	129	3.25E+10	57.40%
0	0.888	-0.712	3.227	1.439	3.269	1.538	3.367	5.198	3.384	5.304	TGGT1_311720-t26_1-p1	TGGT1_311720	1	96	37	32	TGGT1_311720-t26_1-p1	Toxoplasma_gondii_GT1	73423	59.5	72	72.5	605.6	528.39	TGGT1_311720	32	96	1.23E+10	54.40%
0	0.476	-0.99	3.062	3.102	3.172	3.207	3.205	4.458	3.287	4.624	P54652	P54652	1	44	35	19	P54652	HUMAN	70305	50.5	72	72.6	547.7	283.41	Heat shock-related 70 kDa protein 2	19	44	3.03E+09	31.40%
0	1.403	-1.247	2.805	2.943	2.84	2.99	2.936	5.247	2.881	5.329	Q6WCQ1	Q6WCQ1	1	149	57	56	Q6WCQ1|Q6WCQ1-2|Q6WCQ1-3|A8MZF8	HUMAN	117329.9	56.3	73	73.1	986.61	970.21	Myosin phosphatase Rho-interacting protein	57	149	2.67E+10	56.30%
0	1.06	-0.834	3.441	3.489	3.396	3.635	3.461	5.472	3.515	5.498	Q9H2D6-5	Q9H2D6-5	1	71	34	33	Q9H2D6-5|Q9H2D6|Q9H2D6-2|Q9H2D6-3|Q9H2D6-7|Q9H2D6-6	HUMAN	68439.2	52.2	73	73.2	492.71	476.31	Isoform 1 of TRIO and F-actin-binding protein	33	71	1.66E+10	50.70%
0	0.598	-0.725	3.522	3.632	3.518	3.69	3.643	5.18	3.644	5.226	Q12923-4	Q12923-4	1	128	63	63	Q12923-4|Q12923|Q12923-3|Q12923-2|D6R9M4	HUMAN	279614.3	28.3	74	74.1	939.43	939.43	Isoform 4 of Tyrosine-protein phosphatase non-receptor type 13	63	128	2.42E+10	28.30%
0	0.857	-0.666	2.627	2.795	2.778	2.989	2.802	5.192	2.803	5.258	P35658-3	P35658-3	1	146	50	1	P35658-3|P35658-4|B7ZAV2	HUMAN	214428.5	35.2	75	75.1	927.78	13.33	Isoform 3 of Nuclear pore complex protein Nup214	50	146	2.65E+10	35.20%
	0.42	-0.109	2.455	2.676	2.555	2.71	2.59	4.602	2.641	4.812	P35658	P35658	1	1	50	1	P35658|P35658-2|P35658-5|A0A0A0MSW3	HUMAN	214357.5	35.2	75	75.2	926.35	11.9	Nuclear pore complex protein Nup214	1	1	3.02E+08	0.40%
0	0.38	-0.683	4.404	4.292	4.515	4.424	4.643	5.131	4.51	5.269	A0JNW5	A0JNW5	1	131	54	50	A0JNW5|A0A0C4DGH6|A0JNW5-2	HUMAN	165621.9	43.1	76	76.1	911.97	866.83	UHRF1-binding protein 1-like	54	131	2.07E+10	43.10%
0	0.476	-1.084	3.257	3.087	3.43	3.198	3.348	4.735	3.526	4.864	Q6BDS2	Q6BDS2	1	12	15	11	Q6BDS2|H7C1J4	HUMAN	160680.5	8.5	76	76.2	176.97	131.83	UHRF1-binding protein 1	11	12	3.50E+08	7.20%
0.842	-0.261	0	0.274	0.938	0.697	1.083	0.351	1.72	0.35	1.853	P02452	P02452	1	176	54	52	P02452	HUMAN	139966	55.6	77	77.1	911.34	881.65	Collagen alpha-1(I) chain	54	176	4.00E+10	55.60%
0.114	0	-0.389	0.883	0.962	1.087	1.29	1.125	2.2	0.885	2.389	P02458	P02458	1	2	3	1	P02458|P02458-1	HUMAN	142866.9	2.2	77	77.2	44.76	15.07	Collagen alpha-1(II) chain	1	2	5.00E+07	0.80%
0	0.59	-0.487	3.054	2.846	3.195	3.128	3.259	4.598	3.212	4.666	P27708	P27708	1	91	55	55	P27708|F8VPD4	HUMAN	245318.5	37.5	78	78.1	904.42	904.42	CAD protein	55	91	1.38E+10	37.50%
0	0.768	-0.668	3.056	3.119	3.291	3.283	3.266	4.526	3.248	4.55	P46940	P46940	1	109	52	51	P46940|A0A0J9YXZ5|H0YLE8|Q13576|F5H7S7|Q13576-3|Q13576-2	HUMAN	189876.1	39.4	79	79.1	897.46	881.55	Ras GTPase-activating-like protein IQGAP1	53	109	1.10E+10	39.40%
-0.18	1.363	0	3.468	3.146	3.313	3.656	3.333	5.134	3.261	5.316	Q86VI3	Q86VI3	1	8	10	8	Q86VI3|F2Z2E2	HUMAN	185380.1	8	79	79.2	121.65	95.49	Ras GTPase-activating-like protein IQGAP3	8	8	1.56E+08	6.90%
0	0.601	-0.65	3.061	3.411	3.226	3.514	3.283	4.795	3.263	4.933	Q9HBL0	Q9HBL0	1	127	52	51	Q9HBL0|E9PGF5|E9PF55|A0A087WWW7|H0Y4U1|Q9HBL0-2	HUMAN	186610.9	39.8	80	80.1	891.9	862.93	Tensin-1	53	127	1.23E+10	39.80%
0	0.62	-0.694	2.947	3.137	3.046	3.232	3.111	4.951	3.025	5.064	Q68CZ2	Q68CZ2	1	66	36	34	Q68CZ2|Q68CZ2-2|Q68CZ2-3|Q68CZ2-4	HUMAN	156460.9	38.8	80	80.2	620.28	584.9	Tensin-3	34	66	6.98E+09	37.40%
0	0.703	-0.341	3.146	3.227	2.975	3.475	2.911	3.617	2.936	3.898	Q63HR2-4	Q63HR2-4	1	5	5	4	Q63HR2-4|Q63HR2|Q63HR2-6|Q63HR2-5|F8VV64|Q63HR2-2	HUMAN	155500.6	4.9	80	80.3	82.23	61.68	Isoform 4 of Tensin-2	4	5	2.85E+08	4.00%
0	0.341	-0.738	3.564	3.433	3.654	3.509	3.624	5.104	3.59	5.196	A2RRP1	A2RRP1	1	105	58	58	A2RRP1|A2RRP1-2	HUMAN	271875.5	29.4	81	81.1	887.88	887.88	Neuroblastoma-amplified sequence	58	105	7.33E+09	29.40%
0	1.036	-0.549	3.051	3.082	3.187	3.212	3.317	5.988	3.301	6.107	G3V1L9	G3V1L9	1	115	53	2	G3V1L9|Q07157|H0YKB1	HUMAN	197797.8	39.9	82	82.1	882.45	14.22	"Tight junction protein 1 (Zona occludens 1), isoform CRA_a"	53	115	4.58E+10	39.90%
-0.176	0.988	-0.213	3.172	3.003	3.137	3.296	3.442	6.57	3.401	6.606	G5E9E7	G5E9E7	1	3	52	1	G5E9E7|Q07157-2|A0A087X0K9	HUMAN	190071.5	41	82	82.2	883.49	15.26	"Tight junction protein 1 (Zona occludens 1), isoform CRA_e"	1	3	4.96E+08	0.80%
0	0.277	-1.451	2.85	2.88	3.129	3.064	3.068	4.029	3.017	4.109	O94832	O94832	1	136	53	53	O94832|J3QRN6|K7EIG7|J3KRL0|B0I1T2|B0I1T2-4|B0I1T2-3|B0I1T2-2|F8WEW9	HUMAN	116998.8	53	83	83.1	874.14	874.14	Unconventional myosin-Id	53	136	2.27E+10	53.00%
0	0.646	-0.838	3.455	2.816	3.493	2.996	3.554	4.824	3.515	4.924	A0A024R4E5	A0A024R4E5	1	129	56	7	A0A024R4E5|Q00341	HUMAN	142064.7	44.9	84	84.1	870.02	105.53	"High density lipoprotein binding protein (Vigilin), isoform CRA_a"	56	129	2.01E+10	44.90%
0	0.456	-1.328	2.533	2.3	2.71	2.423	2.595	3.561	2.562	3.738	Q00341-2	Q00341-2	1	2	50	2	Q00341-2	HUMAN	138669	41.9	84	84.2	770.9	19.65	Isoform 2 of Vigilin	2	2	1.35E+08	2.30%
0	0.735	-0.75	3.793	3.557	3.883	3.76	3.876	4.923	3.875	5.152	O60271	O60271	1	119	53	9	O60271|O60271-4|A0A087X2D8|O60271-2|O60271-3|O60271-5|A0A087WYG2|Q9UPT6|E9PFH7|Q9UPT6-2	HUMAN	147001.6	52.3	85	85.1	862.66	114.52	C-Jun-amino-terminal kinase-interacting protein 4	53	119	2.55E+10	52.30%
	0.053	-0.663	2.768	2.552	2.852	2.782	3.025	4.028	2.6	4.063	O60271-9	O60271-9	1	2	45	2	O60271-9	HUMAN	129460.3	53.2	85	85.2	768.61	28.25	Isoform 6 of C-Jun-amino-terminal kinase-interacting protein 4	2	2	1.18E+08	3.30%
0.217	0	-0.997	4.051	4.141	4.139	4.301	4.309	4.17	4.17	4.288	Q8WUM0	Q8WUM0	1	122	49	49	Q8WUM0	HUMAN	130003.6	51.2	86	86.1	862.61	862.61	Nuclear pore complex protein Nup133	49	122	1.95E+10	51.20%
0	0.664	-0.43	3.047	3.108	3.11	3.323	3.2	5.495	3.192	5.645	Q8TF72	Q8TF72	1	119	51	50	Q8TF72|F5H3B6	HUMAN	218451.1	36.6	87	87.1	862.51	852.56	Protein Shroom3	51	119	1.46E+10	36.60%
0.124			3.484	3.45	3.758	3.528	3.343	2.716	3.201	2.667	Q13796	Q13796	1	1	2	1	Q13796	HUMAN	177605.1	1.1	87	87.2	14.58	4.63	Protein Shroom2	1	1	1.43E+08	0.50%
0	0.595	-0.908	4.216	3.94	4.248	4.284	4.347	5.024	4.301	5.088	Q8NDI1-2	Q8NDI1-2	1	113	53	49	Q8NDI1-2|Q8NDI1-3|Q8NDI1	HUMAN	136805.3	48.8	88	88.1	862.39	798.29	Isoform 2 of EH domain-binding protein 1	53	113	3.76E+10	48.80%
	0.059	-1.6	3.349	3.499	3.548	3.593	3.657	4.532	3.715	4.778	Q8N3D4	Q8N3D4	1	5	8	4	Q8N3D4	HUMAN	162650.3	6.1	88	88.2	130.93	66.83	EH domain-binding protein 1-like protein 1	4	5	1.49E+08	4.00%
0	1.339	-0.745	3.109	3.338	3.275	3.563	3.174	5.428	3.215	5.532	O60437	O60437	1	90	53	53	O60437|K7EKI8	HUMAN	205313.7	35.6	89	89.1	859.84	859.84	Periplakin	53	90	6.03E+09	35.60%
0	0.977	-0.638	3.112	3.113	3.266	3.22	3.371	5.024	3.318	5.079	P41252	P41252	1	120	56	56	P41252|A0A0A0MSX9|J3KR24|Q5TCC6|TGGT1_207640-t26_1-p1	HUMAN	145807.7	49.6	90	90.1	859.49	859.49	Isoleucine--tRNA ligase cytoplasmic	56	120	1.13E+10	49.60%
0	0.743	-0.602	3.423	3.278	3.61	3.315	3.748	5.642	3.612	5.58	Q6YHU6	Q6YHU6	1	102	51	51	Q6YHU6|Q6YHU6-3|Q6YHU6-2|Q6YHU6-5|Q6YHU6-6|B5MC89|Q6YHU6-4|F5H3M9|B6ZDE5	HUMAN	223026.5	35.3	91	91.1	851.67	851.67	Thyroid adenoma-associated protein	51	102	1.35E+10	35.30%
0	1.025	-0.747	2.975	2.92	3.04	3.054	3.186	5.866	2.997	5.942	Q04637-8	Q04637-8	1	132	51	43	Q04637-8|Q04637|E7EUU4|Q04637-3|Q04637-9|E9PGM1|Q04637-4|E7EX73|Q04637-5|Q04637-7|Q04637-6|F8WCF2	HUMAN	176357.7	33	92	92.1	848.79	724.31	Isoform 8 of Eukaryotic translation initiation factor 4 gamma 1	51	132	2.22E+10	33.00%
0	0.868	-1.068	2.736	2.808	2.588	2.738	2.783	5.61	2.838	5.704	A0A0U1RQK7	A0A0U1RQK7	1	26	25	17	A0A0U1RQK7|A0A0A0MSA7|O43432-3|O43432|O43432-4|O43432-2	HUMAN	196410.6	15.7	92	92.2	386.87	262.39	Eukaryotic translation initiation factor 4 gamma 3	17	26	1.74E+09	12.10%
0	0.098	-0.139	0.767	1.01	0.872	1.07	0.996	1.386	0.892	1.385	Q96RQ3	Q96RQ3	1	276	44	44	Q96RQ3|E9PHF7|F5GYT8|G5E9X5|F8WDI3	HUMAN	80985.1	65.7	93	93.1	843.87	843.87	Methylcrotonoyl-CoA carboxylase subunit alpha mitochondrial	44	276	3.19E+11	65.70%
0	0.396	-0.817	4.019	4.238	4.115	4.326	4.171	4.684	4.221	4.786	A0A1B0GTL5	A0A1B0GTL5	1	154	45	45	A0A1B0GTL5|Q9BXF6	HUMAN	139038.8	44.7	94	94.1	839.94	839.94	Rab11 family-interacting protein 5	45	154	3.22E+10	44.70%
0	0.431	-0.692	4.052	4.103	4.216	4.283	4.292	4.884	4.233	4.961	O00443	O00443	1	89	53	53	O00443|A0A0C4DGF9|O00443-2	HUMAN	192273.6	36	95	95.1	827.21	827.21	Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha	53	89	7.51E+09	36.00%
0	1.04	-0.733	3.219	3.055	3.185	3.23	3.232	5.975	3.252	6.2	Q5SW79	Q5SW79	1	138	52	3	Q5SW79|E7EWM2|Q96L14	HUMAN	175689.3	36.1	96	96.1	825.26	53.72	Centrosomal protein of 170 kDa	52	138	1.56E+10	36.10%
0	0.58	-1.381	2.398	2.465	2.532	2.572	2.47	4.678	2.419	4.827	Q5SW79-2	Q5SW79-2	1	3	52	2	Q5SW79-2|Q5SW79-3|E7EMW0	HUMAN	161804.4	40.2	96	96.2	822.56	42.15	Isoform 2 of Centrosomal protein of 170 kDa	2	3	94700000	2.40%
0.174	0	-0.749	1.766	1.649	1.678	1.988	1.57	2.213	1.475	2.483	P02769	P02769	1	54	28	27	P02769|P02768|A0A0C4DGB6|B7WNR0|D6RHD5|P02768-2|C9JKR2|P02768-3|A0A087WWT3	BOVIN	71289	55.5	96	96.3	387.56	378.69	Serum albumin	27	54	5.58E+09	53.30%
0	0.411	-1.269	2.887	2.665	2.911	2.782	2.852	3.942	2.827	3.923	P19623	P19623	1	12	7	6	P19623|K7EKM4	HUMAN	34394.6	27.4	96	96.4	116.68	107.81	Spermidine synthase	6	12	9.80E+08	26.10%
0.12	0.723	-0.201	1.872	2.096	2.25	2.084	2.19	4.846	1.988	5.07	J3KQR7	J3KQR7	1	6	5	4	J3KQR7|Q9Y4F5|Q9Y4F5-2|Q9Y4F5-3	HUMAN	172326.6	3.5	96	96.5	64.52	49.75	Centrosomal protein of 170 kDa protein B	4	6	4.56E+08	2.90%
