20191004_Toxoplasma_PMV_TMT, 126C:126C.127C.127N, ctrl.turbo.rah.nobiotin:control.mean	20191004_Toxoplasma_PMV_TMT, 127N:126C.127C.127N, ctrl.turbo.cyto.nobiotin:control.mean	20191004_Toxoplasma_PMV_TMT, 127C:126C.127C.127N, ctrl.noturbo.nobiotin:control.mean	20191004_Toxoplasma_PMV_TMT, 128N:126C.127C.127N, turborah.toxo.r1:control.mean	20191004_Toxoplasma_PMV_TMT, 128C:126C.127C.127N, turborah.mock.r1:control.mean	20191004_Toxoplasma_PMV_TMT, 129N:126C.127C.127N, turborah.toxo.r2:control.mean	20191004_Toxoplasma_PMV_TMT, 129C:126C.127C.127N, turborah.mock.r2:control.mean	20191004_Toxoplasma_PMV_TMT, 130N:126C.127C.127N, turborah.toxo.r3:control.mean	20191004_Toxoplasma_PMV_TMT, 130C:126C.127C.127N, turbocyto.toxo.r1:control.mean	20191004_Toxoplasma_PMV_TMT, 131N:126C.127C.127N, turborah.toxo.r4:control.mean	20191004_Toxoplasma_PMV_TMT, 131C:126C.127C.127N, turbocyto.toxo.r2:control.mean	id	accession_number	numColumnsProteinObserved	numSpectraProteinObserved	numPepsUnique	numPepsUniqueSubgroupSpecificCI	accession_numbers	species	protein_mw	percentCoverage	groupNum	subgroupNum	scoreUnique	scoreUniqueSubgroupSpecificCI	entry_name	20191004_Toxoplasma_PMV_TMT unique_peptides	20191004_Toxoplasma_PMV_TMT numSpectra	20191004_Toxoplasma_PMV_TMT totalIntensity	20191004_Toxoplasma_PMV_TMT pct_cov
0	0.757	-1.039	3.696	3.756	3.887	3.8	3.952	4.897	3.931	4.955	P11142	P11142	1	58	45	28	P11142|E9PKE3|P11142-2|E9PNE6|A8K7Q2	HUMAN	71125	66.5	48	48.2	748.12	484.74	Heat shock cognate 71 kDa protein	28	58	7.37e+10	49.0%
0	1.086	-0.856	3.157	2.208	3.299	1.894	3.35	5.243	3.277	5.359	TGGT1_273760-t26_1-p1	TGGT1_273760-t26_1-p1	1	36	32	24	TGGT1_273760-t26_1-p1	Toxoplasma_gondii_GT1	72748	56.5	48	48.3	552.84	425.82	TGGT1_273760	24	36	1.41e+10	45.5%
0	0.507	-1.051	3.484	3.446	3.508	3.615	3.652	4.806	3.632	4.846	A0A0G2JIW1	A0A0G2JIW1	1	42	31	25	A0A0G2JIW1|P0DMV8|P0DMV8-2|V9GZ37|P48741	HUMAN	70393.3	53.4	48	48.4	477.12	401.4	Heat shock 70 kDa protein 1B	25	42	1.82e+10	43.9%
0	0.638	-0.657	3.233	2.13	3.248	1.925	3.358	4.876	3.381	5.028	TGGT1_311720-t26_1-p1	TGGT1_311720-t26_1-p1	1	29	25	21	TGGT1_311720-t26_1-p1	Toxoplasma_gondii_GT1	73423	44.1	48	48.5	383.64	317.65	TGGT1_311720	21	29	5.4e+09	39.3%
0	0.4	-1.014	2.967	2.975	3.186	3.18	3.195	4.379	3.206	4.513	P54652	P54652	1	11	24	10	P54652	HUMAN	70305	35.3	48	48.6	340.04	124.9	Heat shock-related 70 kDa protein 2	10	11	9.22e+08	17.6%
0	0.646	-0.817	3.63	3.674	3.732	3.868	3.867	4.717	3.789	4.777	Q13439-5	Q13439-5	1	65	56	56	Q13439-5|Q13439|Q13439-4|Q13439-3|A0A087WTW2	HUMAN	263236.4	28.8	49	49.1	775.53	775.53	Isoform 5 of Golgin subfamily A member 4	56	65	7.54e+09	28.8%
0	0.575	-0.727	2.866	2.788	2.95	2.836	2.997	4.906	2.954	4.892	P49327	P49327	1	58	52	52	P49327|A0A0U1RQF0	HUMAN	276046.1	29.6	50	50.1	762.76	762.76	Fatty acid synthase	52	58	8.22e+09	29.6%
0	0.952	-0.631	2.868	3.03	2.959	3.377	3.081	5.358	2.964	5.456	Q13813	Q13813	1	53	47	47	Q13813|Q13813-3|A0A0D9SGF6|Q13813-2|A0A0D9SF54	HUMAN	285333	28.5	51	51.1	758.6	758.6	Spectrin alpha chain non-erythrocytic 1	47	53	4.86e+09	28.5%
0	0.792	-0.953	3.343	3.025	3.391	3.225	3.398	5.461	3.344	5.539	Q8N3C0	Q8N3C0	1	60	54	54	Q8N3C0|Q8N3C0-4|Q8N3C0-3|J3KNJ4	HUMAN	253053.3	28.9	52	52.1	750.15	750.15	Activating signal cointegrator 1 complex subunit 3	54	60	1.17e+10	28.9%
0	0.598	-0.799	2.941	2.929	3.052	3.085	3.102	4.072	3.021	4.119	O00159-3	O00159-3	1	65	49	49	O00159-3|O00159|F5H6E2|O00159-2	HUMAN	120424.7	50.9	53	53.1	749.63	749.63	Isoform 3 of Unconventional myosin-Ic	49	65	2.54e+10	50.9%
0	1.312	-1.31	3.028	3.058	3.101	3.233	3.147	5.296	3.049	5.459	Q9P0K7	Q9P0K7	1	63	47	47	Q9P0K7|Q9P0K7-4|Q9P0K7-2|Q9P0K7-3|D6REL2|D6RBW6|D6RB25	HUMAN	110666.9	47.7	54	54.1	743.38	743.38	Ankycorbin	47	63	1.94e+10	47.7%
0	0.087	-0.528	4.259	4.337	4.293	4.67	4.425	4.646	4.254	4.692	Q9NRZ9-2	Q9NRZ9-2	1	72	54	54	Q9NRZ9-2|A0A0B4J1V9|Q9NRZ9|Q9NRZ9-3|Q9NRZ9-5|Q9NRZ9-6|F6XU50|Q9NRZ9-4|A0A087WSW7|Q9NRZ9-7|Q9NRZ9-8|Q9NW36|Q9NRZ9-9|Q76H82	HUMAN	96233.2	59.7	55	55.1	718.43	718.43	Isoform 2 of Lymphoid-specific helicase	54	72	3.55e+10	59.7%
0	0.878	-0.677	3.143	3.002	3.223	3.258	3.371	4.872	3.258	5.002	P07814	P07814	1	64	48	48	P07814|V9GZ76	HUMAN	172185.3	40.4	56	56.1	711.52	711.52	Bifunctional glutamate/proline--tRNA ligase	48	64	1.27e+10	40.4%
0	0.462	-0.819	3.541	3.227	3.614	3.41	3.672	4.422	3.573	4.53	P53621	P53621	1	66	46	46	P53621|P53621-2	HUMAN	139883.7	47.9	57	57.1	708.88	708.88	Coatomer subunit alpha	46	66	1.42e+10	47.9%
0.192	0	-1.117	3.844	3.921	3.93	4.031	4.055	4.08	3.975	4.134	P52948	P52948	1	65	47	47	P52948|P52948-5|P52948-6|P52948-2|P52948-3|P52948-4	HUMAN	198716.8	29.7	58	58.1	700.92	700.92	Nuclear pore complex protein Nup98-Nup96	47	65	3.12e+10	29.7%
1.409	0	-0.405	0.9	1.503	1.517	2.076	0.702	1.188	0.713	1.615	P35555	P35555	1	59	51	47	P35555|F6U495|D6REJ2	HUMAN	332886.1	21.9	59	59.1	686.11	632.79	Fibrillin-1	51	59	1.56e+10	21.9%
1.479	0	-0.305	1.256	1.558	1.707	2.206	1.096	1.389	1.072	1.625	P35556	P35556	1	16	18	14	P35556|A0A087WYV8|D6RJI3|P35556-2|E9PHW4	HUMAN	335480.6	6.2	59	59.2	223.02	169.7	Fibrillin-2	14	16	1.31e+09	4.9%
0	1.473	-0.764	3.036	2.896	3.108	2.99	3.203	5.698	3.048	5.753	P50990	P50990	1	61	40	40	P50990|P50990-2|P50990-3|TGGT1_287500-t26_1-p1	HUMAN	60190.1	68.4	60	60.1	680.59	680.59	T-complex protein 1 subunit theta	40	61	6.23e+10	68.4%
0.145	-0.712	0	0.482	0.951	0.529	0.734	0.665	0.882	0.509	0.909	P24821-4	P24821-4	1	54	45	45	P24821-4|J3QSU6|P24821|E9PC84|P24821-2|P24821-3|F5H7V9|P24821-5|P24821-6	HUMAN	236511.3	28.8	61	61.1	677.79	677.79	Isoform 4 of Tenascin	45	54	1.68e+10	28.8%
0.74	-0.276	0	0.285	0.914	0.739	1.091	0.286	1.589	0.342	1.765	P02452	P02452	1	59	45	45	P02452|P02458|P02458-1	HUMAN	139966	41.5	62	62.1	675.93	675.93	Collagen alpha-1(I) chain	45	59	2.11e+10	41.5%
0	0.548	-0.725	3.733	3.787	3.782	3.917	3.8	4.123	3.796	4.248	Q86UP2	Q86UP2	1	57	47	47	Q86UP2|Q86UP2-4|Q86UP2-2|Q86UP2-3|G3V4Y7|B7Z6P3	HUMAN	156557.7	39.8	63	63.1	661.63	661.63	Kinectin	47	57	7.61e+09	39.8%
0.412	0	-1.197	3.584	3.839	3.571	3.962	3.764	2.9	3.751	3.062	Q07065	Q07065	1	64	38	38	Q07065	HUMAN	66135.4	64.2	64	64.1	650.71	650.71	Cytoskeleton-associated protein 4	38	64	8.13e+10	64.2%
0	1.229	-0.885	2.609	2.703	2.753	2.777	2.787	5.274	2.688	5.403	Q15746	Q15746	1	51	47	47	Q15746|Q15746-6|Q15746-3|Q15746-2|Q15746-4|Q15746-5|Q15746-7|Q15746-11|Q15746-9|Q15746-8|Q15746-10|F8WBL7	HUMAN	213449.8	31.2	65	65.1	646.73	646.73	Myosin light chain kinase smooth muscle	47	51	9.44e+09	31.2%
0	0.401	-0.023	2.733	2.755	2.759	2.921	2.941	4.036	2.878	4.174	P14618	P14618	1	67	35	4	P14618|B4DNK4|P14618-3|H3BQ34|H3BQZ3|P30613|P30613-2	HUMAN	58506.4	76.2	66	66.1	645.47	92.32	Pyruvate kinase PKM	35	67	6.65e+10	76.2%
-0.097	0.798	-0.068	2.25	2.949	2.471	2.003	1.838	3.055	2.305	3.584	P14618-2	P14618-2	1	2	33	2	P14618-2|H3BR70	HUMAN	58574.6	70.9	66	66.2	576.09	22.94	Isoform M1 of Pyruvate kinase PKM	2	2	1.13e+08	4.1%
1.749	-0.089	0	1.918	1.475	2.599	0.472	1.312	1.09	1.752	1.724	P04264	P04264	1	56	37	33	P04264	HUMAN	66208.7	56.2	67	67.1	641	590.01	Keratin type II cytoskeletal 1	37	56	5.13e+10	56.2%
0	-0.013	0.082	2.499	1.881	2.082	1.094	1.554	1.874	1.829	2.193	P35908	P35908	1	32	32	23	P35908|Q01546|P12035|Q7Z794|Q9NSB2|F8W1S1|Q86Y46|Q7RTS7|Q3SY84|Q86Y46-2	HUMAN	65717	63.5	67	67.2	450.01	326.5	Keratin type II cytoskeletal 2 epidermal	23	32	7.98e+09	53.0%
1.072	-0.667	0	1.597	0.933	1.87	1.137	0.727	0.261	1.183	0.909	P13647	P13647	1	5	17	5	P13647	HUMAN	62605.5	22.3	67	67.3	219.81	68.65	Keratin type II cytoskeletal 5	5	5	8.59e+08	7.2%
	-1.329	1.292	1.3	1.374	2.554	1.192	1.312	2.179	2.026	2.409	P02538	P02538	1	3	16	3	P02538|P48668|P04259	HUMAN	60329.1	21.9	67	67.4	199.77	31.84	Keratin type II cytoskeletal 6A	3	3	4.3e+07	4.6%
0	1.213	-0.415	2.74	2.452	3.034	2.494	2.938	4.578	2.777	4.674	P05787-2	P05787-2	1	7	9	3	P05787-2|P05787|Q8IWY7	HUMAN	56607.4	10.9	67	67.5	100.85	33.56	Isoform 2 of Keratin type II cytoskeletal 8	3	7	6.45e+10	5.8%
-0.569	1.931		2.948	3.205	3.2	3.135	2.855	5.842	3.034	5.646	Q5XKE5	Q5XKE5	1	2	7	1	Q5XKE5	HUMAN	58119.8	10.2	67	67.6	87.37	18.81	Keratin type II cytoskeletal 79	1	2	4.48e+08	1.8%
-0.712	1.473	-0.487	2.303	2.122	2.437	2.294	2.298	5.809	2.446	5.877	Q14CN4	Q14CN4	1	2	4	2	Q14CN4|Q14CN4-2|Q14CN4-3	HUMAN	56503.9	4.1	67	67.7	53.98	29.88	Keratin type II cytoskeletal 72	2	2	7.32e+08	2.3%
	0.718	-0.471	2.47	2.331	2.538	2.506	2.385	5.992	2.687	5.998	P19013	P19013	1	1	3	1	P19013	HUMAN	57683.6	4.6	67	67.8	44.68	15.41	Keratin type II cytoskeletal 4	1	1	37900000	1.6%
0	0.859	-0.907	3.172	3.099	3.192	3.258	3.299	4.959	3.133	5.089	Q96N67	Q96N67	1	56	51	51	Q96N67|Q96N67-6|Q96N67-2|Q96N67-5|Q96N67-3|Q96N67-4|Q96N67-7|A0A1B0GUE9|Q96HP0|Q8NF50|Q8NF50-2|Q8NF50-3|Q8NF50-4|A2A369	HUMAN	244439.1	29.2	68	68.1	636.74	636.74	Dedicator of cytokinesis protein 7	51	56	1.11e+10	29.2%
0.172	0	-0.257	4.94	4.4	4.939	4.605	4.893	4.433	5.005	4.413	MINITURBO	MINITURBO	1	73	33	26	MINITURBO	UNIQUE	46429.9	67.5	69	69.1	628.98	530.7	miniturboRAH	33	73	3.01e+11	67.5%
0	0.449	-0.926	3.988	1.534	3.818	1.485	3.624	3.436	3.746	3.493	TGGT1_258580-t26_1-p1	TGGT1_258580-t26_1-p1	1	13	17	10	TGGT1_258580-t26_1-p1	Toxoplasma_gondii_GT1	69338.2	32.5	69	69.2	256.8	158.52	TGGT1_258580	10	13	7.33e+08	25.8%
0	0.485	-0.752	4.054	3.996	4.114	4.095	4.153	4.624	4.172	4.793	Q7Z2W4	Q7Z2W4	1	61	43	43	Q7Z2W4|C9J6P4|Q7Z2W4-2|Q7Z2W4-3|Q7Z2W4-4|Q7Z2W4-5	HUMAN	103198.2	55.5	70	70.1	627.69	627.69	Zinc finger CCCH-type antiviral protein 1	43	61	2.29e+10	55.5%
0	0.838	-0.757	3.588	3.534	3.755	3.834	3.597	4.922	3.579	5.072	Q02952	Q02952	1	46	38	38	Q02952|Q02952-2|Q02952-3	HUMAN	192048.9	32.9	71	71.1	627.22	627.22	A-kinase anchor protein 12	38	46	9.1e+09	32.9%
0.286	-0.263	0	2.03	1.951	2.011	1.918	1.898	1.576	1.748	1.495	E7EX59	E7EX59	1	68	35	35	E7EX59|P05166-2|P05166|E9PDR0|C9JQS9|E7ETT1|E7EUY3|E7ETT4|E9PEC3|F8WBI9|E7ENC1	HUMAN	62280.2	71.4	72	72.1	624.35	624.35	Propionyl-CoA carboxylase beta chain mitochondrial	35	68	6.94e+10	71.4%
0	0.116	-0.65	4.472	4.179	4.458	4.316	4.505	4.652	4.552	4.84	P82094	P82094	1	53	41	41	P82094|P82094-2|F8WF45	HUMAN	123353	46.8	73	73.1	614.95	614.95	TATA element modulatory factor	41	53	5.18e+10	46.8%
0	0.366	-0.804	3.578	3.652	3.787	3.799	3.754	4.665	3.775	4.747	A0A1B0GTL5	A0A1B0GTL5	1	49	35	35	A0A1B0GTL5|Q9BXF6	HUMAN	139038.8	38.6	74	74.1	598.64	598.64	Rab11 family-interacting protein 5	35	49	1.06e+10	38.6%
0.291	0	-0.625	4.557	4.488	4.583	4.685	4.794	4.197	4.693	4.318	Q0IIM8	Q0IIM8	1	49	38	38	Q0IIM8|J3KN75|Q0IIM8-3|Q0IIM8-2|D6RFZ2|J3KQ40|O95759	HUMAN	130190	38.6	75	75.1	598.5	598.5	TBC1 domain family member 8B	38	49	1.76e+10	38.6%
0	0.305	-1.102	2.839	2.947	2.907	2.98	2.82	3.853	2.808	3.806	A0A087WVQ6	A0A087WVQ6	1	42	37	37	A0A087WVQ6|Q00610|Q00610-2|J3KS13|P53675|P53675-2|A0A087WX41|J3QL20	HUMAN	193823.3	29.6	76	76.1	590.05	590.05	Clathrin heavy chain	37	42	5.78e+09	29.6%
1.504	0	-0.562	4.321	4.579	4.488	4.784	4.609	3.245	4.499	3.523	P42167	P42167	1	92	36	6	P42167|P42167-3	HUMAN	50726.4	67.4	77	77.1	587.22	101.79	Lamina-associated polypeptide 2 isoforms beta/gamma	36	92	6.78e+11	67.4%
	0.809		1.708	1.308	1.828	2.097	1.863	2.187	1.783	2.145	G5E972	G5E972	1	2	31	1	G5E972	HUMAN	46362.7	66.9	77	77.2	496.72	11.29	Lamina-associated polypeptide 2 isoforms beta/gamma	1	2	71700000	3.3%
	0.765		2.856	2.736	2.83	4.006	2.981	1.649	2.993	2.124	P42167-2	P42167-2	1	3	29	2	P42167-2	HUMAN	38794.2	64.6	77	77.3	461.6	24.96	Isoform Gamma of Lamina-associated polypeptide 2 isoforms beta/gamma	2	3	68200000	4.0%
0	0.562	-0.676	4.155	4.35	4.32	4.649	4.336	4.042	4.327	4.168	P42166	P42166	1	11	23	7	P42166	HUMAN	76061.2	38.9	77	77.4	411.42	120.7	Lamina-associated polypeptide 2 isoform alpha	7	11	8.33e+08	18.5%
0	0.199	-0.486	4.274	4.132	4.296	4.401	4.471	3.968	4.33	4.143	Q8TBA6	Q8TBA6	1	50	37	37	Q8TBA6|Q8TBA6-2	HUMAN	83080	57.3	78	78.1	582.13	582.13	Golgin subfamily A member 5	37	50	1.81e+10	57.3%
2.248	0	-0.003	2.336	1.537	2.767	0.648	1.636	1.518	2	1.961	P35527	P35527	1	50	34	34	P35527|K7EQQ3	HUMAN	62291.5	66.1	79	79.1	577.59	577.59	Keratin type I cytoskeletal 9	34	50	3.81e+10	66.1%
0	1.288	-1.095	2.999	2.726	3.045	2.905	3.205	5.626	3.031	5.723	Q05682-4	Q05682-4	1	60	39	39	Q05682-4|Q05682-5|Q05682|Q05682-2|Q05682-6|Q05682-3|E7EX44|E9PGZ1|F8WE61	HUMAN	62719.3	61.5	80	80.1	575.83	575.83	Isoform 4 of Caldesmon	39	60	3.4e+10	61.5%
0.085	0	-0.552	2.161	2.477	2.185	2.463	2.276	3.112	2.269	3.268	P07996	P07996	1	52	38	35	P07996|P07996-2	HUMAN	133374.2	36.6	81	81.1	570.21	529.69	Thrombospondin-1	38	52	2.48e+10	36.6%
0	0.221	-0.565	1.822	1.967	1.999	2.127	1.854	2.798	1.87	2.849	P35442	P35442	1	2	5	2	P35442	HUMAN	133868.6	4.4	81	81.2	63.65	23.13	Thrombospondin-2	2	2	20800000	2.0%
0	0.772	-0.619	3.242	3.21	3.287	3.296	3.527	4.82	3.359	5.048	Q641Q2	Q641Q2	1	38	30	3	Q641Q2|Q641Q2-2|E7ESD2|F8W7U3|A0A087WYF6|Q5T1D7	HUMAN	147352.2	38.2	82	82.1	560.55	63.3	WASH complex subunit 2A	30	38	5.68e+09	38.2%
											A0A096LPC5	A0A096LPC5	1	2	29	2	A0A096LPC5|A0A0A0MR88|Q9Y4E1-4|Q9Y4E1|Q9Y4E1-6|Q9Y4E1-2|Q9Y4E1-3|J3KP36|Q9Y4E1-5|Q5SRD0	HUMAN	147322.1	38	82	82.2	528.86	31.61	WASH complex subunit 2C	2	2	91400000	4.7%
0.216	0	-0.822	4.046	3.967	4.27	4.112	4.311	3.284	4.29	3.619	O94901-9	O94901-9	1	50	35	35	O94901-9|E9PHI4|O94901|O94901-8|O94901-5|O94901-6|O94901-3|O94901-7|O94901-2	HUMAN	102843.3	45.3	83	83.1	555.22	555.22	Isoform 9 of SUN domain-containing protein 1	35	50	4.49e+10	45.3%
0	0.273	-0.619	3.291	3.247	3.591	3.38	3.519	4.72	3.508	4.814	Q9HCS7	Q9HCS7	1	48	38	38	Q9HCS7	HUMAN	100806.6	52.1	84	84.1	549.26	549.26	Pre-mRNA-splicing factor SYF1	38	48	1.13e+10	52.1%
0	0.823	-0.369	3.121	2.872	2.989	2.92	3.222	5.564	3.16	5.696	G5E9E7	G5E9E7	1	41	37	37	G5E9E7|Q07157-2|G3V1L9|Q07157|A0A087X0K9|H0YKB1	HUMAN	190071.5	29.4	85	85.1	548.93	548.93	Tight junction protein 1 (Zona occludens 1), isoform CRA_e	37	41	1.21e+10	29.4%
0	0.393	-0.885	3.747	3.886	3.876	3.862	4.069	4.77	3.965	4.885	A0JNW5	A0JNW5	1	40	32	32	A0JNW5|A0A0C4DGH6|A0JNW5-2	HUMAN	165621.9	32.6	86	86.1	548.04	548.04	UHRF1-binding protein 1-like	32	40	8.4e+09	32.6%
0	0.588	-0.665	2.856	2.64	2.733	2.806	2.865	4.313	2.71	4.306	P13639	P13639	1	47	34	33	P13639|TGGT1_205470-t26_1-p1	HUMAN	96306.4	50	87	87.1	547.25	535.9	Elongation factor 2	34	47	1.04e+10	50.0%
0.003	0	-0.595	2.196	2.392	2.42	2.394	2.43	3.238	2.63	3.133	Q15029	Q15029	1	2	3	2	Q15029|Q15029-3|Q15029-2	HUMAN	110403.7	4.9	87	87.2	45.46	34.11	116 kDa U5 small nuclear ribonucleoprotein component	2	2	39700000	3.9%
0	1.031	-0.609	2.804	2.792	3.014	2.933	3.025	5.195	2.833	5.179	Q04637-8	Q04637-8	1	47	39	35	Q04637-8|E7EUU4|E9PGM1|E7EX73|Q04637-7|Q04637-9|Q04637|Q04637-3|Q04637-4|Q04637-5|Q04637-6	HUMAN	176357.7	31.5	88	88.1	544.03	485.56	Isoform 8 of Eukaryotic translation initiation factor 4 gamma 1	39	47	1.04e+10	31.5%
0	0.489	-1.433	1.796	2.026	1.986	1.828	1.808	4.26	1.969	4.338	A0A0U1RQK7	A0A0U1RQK7	1	9	12	8	A0A0U1RQK7|A0A0A0MSA7|O43432-3|O43432|O43432-4	HUMAN	196410.6	9.4	88	88.2	181.73	123.26	Eukaryotic translation initiation factor 4 gamma 3	8	9	2.97e+08	6.8%
0	0.706	-1.445	2.662	2.693	2.648	2.834	2.776	3.305	2.593	3.332	P60709	P60709	1	89	30	2	P60709|G5E9R0|Q6S8J3|A5A3E0|P0CG38|P0CG39|Q9BYX7|F8WCH0	HUMAN	42078.3	79.7	89	89.1	534.36	39.8	Actin cytoplasmic 1	30	89	4.52e+11	79.7%
0	1.222	-1.119	2.909	2.949	2.932	2.952	2.962	3.502	2.872	3.597	P63261	P63261	1	5	29	1	P63261|J3KT65	HUMAN	42134.4	79.7	89	89.2	512.79	18.23	Actin cytoplasmic 2	1	5	6.42e+09	4.5%
0	0.687	-1.023	2.769	2.986	2.952	3.16	2.957	4.317	3.089	4.373	P68032	P68032	1	15	26	9	P68032|P68133|P62736|P63267|P63267-2|A6NL76|B8ZZJ2|F8WB63	HUMAN	42360.6	60.7	89	89.3	406.12	160.25	Actin alpha cardiac muscle 1	9	15	3.46e+10	33.9%
0	0.647	-0.824	2.646	1.342	2.745	1.465	2.779	4.024	2.664	4.061	TGGT1_209030-t26_1-p1	TGGT1_209030-t26_1-p1	1	21	22	15	TGGT1_209030-t26_1-p1	Toxoplasma_gondii_GT1	42192.3	56.6	89	89.4	291.4	191.48	TGGT1_209030	15	21	5.63e+09	39.6%
0	0.773	-0.633	2.957	3.125	2.908	3.251	3.003	5.008	3.091	5.116	A0A087WUZ3	A0A087WUZ3	1	41	40	40	A0A087WUZ3|Q01082|Q01082-2|Q01082-3|O15020|O15020-2|A4QPE4|P11277-2|P11277|P11277-3	HUMAN	275623.3	20.9	90	90.1	529.48	529.48	Spectrin beta chain	40	41	4.04e+09	20.9%
0	0.905	-0.664	3.202	3.232	3.396	3.378	3.438	4.946	3.398	4.964	O43795	O43795	1	43	33	33	O43795|E9PDF6|O43795-2|Q9UBC5|G3V342	HUMAN	133009.6	35.4	91	91.1	527	527	Unconventional myosin-Ib	34	43	1.1e+10	35.4%
0	0.749	-0.789	3.019	2.966	3.147	3.126	3.229	4.673	3.185	4.798	Q92616	Q92616	1	40	38	38	Q92616	HUMAN	295149.3	19	92	92.1	526.51	526.51	eIF-2-alpha kinase activator GCN1	38	40	3.6e+09	19.0%
0.155	-0.141	0	2.185	2.103	2.075	1.975	2.091	2.071	1.988	1.981	Q9HCC0	Q9HCC0	1	46	30	30	Q9HCC0|Q9HCC0-2|D6RDF7|D6R9R1	HUMAN	61845.6	67.3	93	93.1	523.16	523.16	Methylcrotonoyl-CoA carboxylase beta chain mitochondrial	30	46	2.57e+10	67.3%
0	1.06	-1.139	2.493	2.661	2.574	2.6	2.712	4.854	2.617	5.114	Q6WCQ1-2	Q6WCQ1-2	1	42	35	34	Q6WCQ1-2|Q6WCQ1|Q6WCQ1-3|A8MZF8	HUMAN	118899.7	42	94	94.1	522.51	509.51	Isoform 2 of Myosin phosphatase Rho-interacting protein	35	42	1.14e+10	42.0%
0	0.92	-1.058	3.021	3.165	3.31	3.358	3.244	4.703	3.03	4.861	Q9H2D6	Q9H2D6	1	20	19	18	Q9H2D6|Q9H2D6-2|Q9H2D6-3|Q9H2D6-7|Q9H2D6-5|Q9H2D6-6	HUMAN	264280.7	7.5	94	94.2	278.49	265.49	TRIO and F-actin-binding protein	18	20	3.65e+09	7.1%
0	0	-0.144	5.294	5.132	5.38	5.276	5.433	4.337	5.173	4.464	P05556	P05556	1	49	29	29	P05556|P05556-3|P05556-4|P05556-5|P05556-2|P18564|E9PEE8|A0A087WXP3|P18564-2	HUMAN	91722.9	37.9	95	95.1	516.62	516.62	Integrin beta-1	29	49	3.74e+10	37.9%
0	0.998	-0.719	2.796	3.06	2.884	3.086	2.952	5.387	2.998	5.491	P35658-3	P35658-3	1	41	30	30	P35658-3|P35658-4|P35658-5|P35658|P35658-2|A0A0A0MSW3|B7ZAV2	HUMAN	214428.5	22.1	96	96.1	515.48	515.48	Isoform 3 of Nuclear pore complex protein Nup214	30	41	9.76e+09	22.1%
0.626	0	-0.82	4.283	4.452	4.511	4.578	4.508	2.925	4.436	3.17	Q5JTV8	Q5JTV8	1	46	32	31	Q5JTV8|Q5JTV8-3|J3KN66|A0A0A0MSK5|Q5JTV8-2	HUMAN	66418.4	54.8	97	97.1	514.3	497.8	Torsin-1A-interacting protein 1	32	46	5.8e+10	54.8%
	0.584	-0.882	3.213	3.044	3.294	3.266	3.422	3.81	3.309	3.885	Q8NFQ8	Q8NFQ8	1	1	2	1	Q8NFQ8	HUMAN	51490.6	5.3	97	97.2	35.72	19.22	Torsin-1A-interacting protein 2	1	1	70500000	3.1%
0	0.299	-0.556	2.587	2.424	2.742	2.735	2.764	3.902	2.701	4.003	P07437	P07437	1	67	28	5	P07437|Q5JP53|Q5ST81|A6NNZ2|A0A075B736|Q5SQY0|M0R2T4|G3V3W7|G3V3J6|G3V4U2	HUMAN	50126.4	74	98	98.1	513.18	103.14	Tubulin beta chain	28	67	1.07e+11	74.0%
0	0.404	-0.285	2.779	2.574	2.732	2.909	2.842	3.846	2.853	4.027	P68371	P68371	1	6	27	2	P68371|Q3ZCM7|M0QX14|M0QY37|M0R0X0|A0A075B724	HUMAN	50286.6	67.8	98	98.2	471.48	36.42	Tubulin beta-4B chain	2	6	2.17e+09	6.0%
0	0.632	-0.641	2.747	2.551	2.757	2.651	2.818	4.157	2.677	4.203	Q13885	Q13885	1	5	26	3	Q13885|Q9BVA1	HUMAN	50305.5	60.6	98	98.3	434.4	44.84	Tubulin beta-2A chain	3	5	7.04e+08	8.0%
0	0.411	-0.144	2.393	3.126	2.61	2.592	2.25	3.625	3.531	5.027	Q13509	Q13509	1	4	22	3	Q13509|A0A0B4J269|Q13509-2|Q9H4B7|G3V2N6|G3V3R4|G3V2R8|G3V5W4	HUMAN	50888.2	47.7	98	98.4	352.46	43.56	Tubulin beta-3 chain	3	4	3.16e+08	9.5%
0	0.417	-0.838	2.477	2.582	2.687	2.658	2.738	3.978	2.682	4.14	Q9BUF5	Q9BUF5	1	14	22	9	Q9BUF5|K7EN98|K7EPE5|K7EJZ4|K7ERA8|K7EJ64|K7EQT3|K7ESQ3	HUMAN	50312.7	57.1	98	98.5	344.14	152.24	Tubulin beta-6 chain	9	14	3.12e+09	30.7%
0	0.462	-1.244	2.524	1.219	2.675	1.083	2.362	4.019	2.287	3.91	TGGT1_266960-t26_1-p1	TGGT1_266960-t26_1-p1	1	11	10	8	TGGT1_266960-t26_1-p1	Toxoplasma_gondii_GT1	50585.9	31.1	98	98.6	144.17	118.81	TGGT1_266960	8	11	1.17e+09	26.7%
0	0.343	-0.835	4.214	4.198	4.189	4.364	4.284	4.305	4.305	4.391	Q8NEU8-3	Q8NEU8-3	1	40	31	31	Q8NEU8-3|Q8NEU8|Q8NEU8-2|F8VXB0|F8VS86|F8VR68	HUMAN	75753.4	58.3	99	99.1	507.83	507.83	Isoform 3 of DCC-interacting protein 13-beta	31	40	1.24e+10	58.3%
